so,code,prod,fch,monpago,lista,pu,esperado,src,usd_pay,ves_pay,flag,absdev,pct,dist_nearest_list
S00164,878.0,[0878] SS EXTRA PROTECCION API,2026-03-27,USD,USD,93.1,72.0,mar12,72.0,90.0,por_encima,21.099999999999994,29.305555555555546,3.0999999999999943
S00165,561.0,[0561] MEJORADOR DE OCTANAJE G,2026-03-27,VES,VES,47.84,43.0,feb23,34.0,43.0,por_encima,4.840000000000003,11.255813953488381,4.840000000000003
S00167,775.0,[0775] LIGA PARA FRENOS DOT-4 ,2026-03-27,VES,VES,55.6,38.0,feb23,31.0,38.0,por_encima,17.6,46.31578947368421,17.6
S00168,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-27,USD,USD,86.64,67.0,mar12,67.0,83.0,por_encima,19.64,29.313432835820898,3.6400000000000006
S00170,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-30,USD,USD,86.64,67.0,mar12,67.0,83.0,por_encima,19.64,29.313432835820898,3.6400000000000006
S00174,13.0,[0013] ELITE API SN SAE 5W-30 ,2026-03-31,VES,VES,63.36,58.0,feb23,46.0,58.0,por_encima,5.359999999999999,9.241379310344827,5.359999999999999
S00177,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-03-31,USD,USD,85.34,66.0,mar12,66.0,82.0,por_encima,19.340000000000003,29.303030303030308,3.3400000000000034
S00176,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-03-31,USD,USD,85.34,66.0,mar12,66.0,82.0,por_encima,19.340000000000003,29.303030303030308,3.3400000000000034
S00184,1.0,[0001] ELITE API SP SAE 0W-20 ,2026-04-06,USD,USD,74.2706,49.0,mar12,49.0,61.0,por_encima,25.2706,51.57265306122449,13.270600000000002
S00184,878.0,[0878] SS EXTRA PROTECCION API,2026-04-06,USD,USD,93.0721,72.0,mar12,72.0,90.0,por_encima,21.072100000000006,29.266805555555564,3.072100000000006
S00183,139.0,[0139] HIDRAGLOB AW/ISO 46 (PA,2026-04-06,VES,VES,145.0,103.0,feb23,83.0,103.0,por_encima,42.0,40.77669902912621,42.0
S00186,13.0,[0013] ELITE API SN SAE 5W-30 ,2026-04-06,USD,USD,73.0,46.0,mar12,46.0,58.0,por_encima,27.0,58.69565217391305,15.0
S00185,93.0,[0093] ALTA CILINDRADA SS API ,2026-04-07,VES,VES,46.0,42.0,feb23,34.0,42.0,por_encima,4.0,9.523809523809524,4.0
S00185,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-04-07,VES,VES,90.0,82.0,feb23,66.0,82.0,por_encima,8.0,9.75609756097561,8.0
S00187,121.0,[0121] TRANSGLOB API GL-5 SAE ,2026-04-07,USD,USD,52.0,36.0,mar12,36.0,45.0,por_encima,16.0,44.44444444444444,7.0
S00188,121.0,[0121] TRANSGLOB API GL-5 SAE ,2026-04-07,USD,USD,30.93,36.0,mar12,36.0,45.0,por_debajo,5.07,-14.083333333333334,5.07
S00189,877.0,[0877] SS EXTRA PROTECCION API,2026-04-08,USD,USD,64.66,72.0,mar12,72.0,96.0,por_debajo,7.340000000000003,-10.194444444444448,7.340000000000003
S00189,881.0,[0881] CLASICO API SL SAE 20W-,2026-04-08,USD,USD,56.04,63.0,mar12,63.0,79.0,por_debajo,6.960000000000001,-11.04761904761905,6.960000000000001
S00190,73.0,[0073] SUPREMO API CI-4 SAE 15,2026-04-09,USD,USD,127.7445,91.0,mar12,91.0,114.0,por_encima,36.7445,40.37857142857143,13.744500000000002
S00195,883.0,[0883] GRASA GLOBAL AZUL AZ 95,2026-04-09,USD,USD,116.0,76.0,mar12,76.0,95.0,por_encima,40.0,52.63157894736842,21.0
S00195,83.0,[0083] MAXIMO API CF SAE 50 (P,2026-04-09,USD,USD,113.0,81.0,mar12,81.0,102.0,por_encima,32.0,39.50617283950617,11.0
S00196,93.0,[0093] ALTA CILINDRADA SS API ,2026-04-09,VES,VES,46.0,42.0,feb23,34.0,42.0,por_encima,4.0,9.523809523809524,4.0
S00197,121.0,[0121] TRANSGLOB API GL-5 SAE ,2026-04-09,USD,USD,51.73,36.0,mar12,36.0,45.0,por_encima,15.729999999999997,43.694444444444436,6.729999999999997
S00197,877.0,[0877] SS EXTRA PROTECCION API,2026-04-09,USD,USD,100.0,72.0,mar12,72.0,96.0,por_encima,28.0,38.88888888888889,4.0
S00198,880.0,[0880] CLASICO API SL SAE 15W-,2026-04-10,USD,USD,85.0,62.0,mar12,62.0,78.0,por_encima,23.0,37.096774193548384,7.0
