so,code,prod,fch,monpago,lista,pu,esperado,src,usd_pay,ves_pay,flag
S00532,93.0,[0093] ALTA CILINDRADA SS API ,2026-06-10,Sin Pago,INDETERMINADA,44.8747,,,34.0,42.0,lista_indeterminada
S00532,888.0,[0888] ENDUROGLOB 2T AIRE (1x1,2026-06-10,Sin Pago,INDETERMINADA,98.7001,,,66.0,82.0,lista_indeterminada
S00532,877.0,[0877] SS EXTRA PROTECCION API,2026-06-10,Sin Pago,INDETERMINADA,97.4445,,,72.0,96.0,lista_indeterminada
S00532,774.0,[0774] LIGA PARA FRENOS DOT-4 ,2026-06-10,Sin Pago,INDETERMINADA,64.487,,,47.0,59.0,lista_indeterminada
S00532,762.0,[0762] LIGA PARA FRENOS DOT-3 ,2026-06-10,Sin Pago,INDETERMINADA,56.5886,,,39.0,49.0,lista_indeterminada
S00532,795.0,[0795] REFRIGERANTE GLOBAL ORA,2026-06-10,Sin Pago,INDETERMINADA,49.9983,,,34.0,43.0,lista_indeterminada
S00532,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-06-10,Sin Pago,INDETERMINADA,94.751,,,67.0,83.0,lista_indeterminada
S00532,761.0,[0761] LIGA PARA FRENOS DOT-3 ,2026-06-10,Sin Pago,INDETERMINADA,35.5328,,,26.0,33.0,lista_indeterminada
S00532,789.0,[0789] REFRIGERANTE GLOBAL VER,2026-06-10,Sin Pago,INDETERMINADA,33.3322,,,24.0,29.0,lista_indeterminada
S00532,775.0,[0775] LIGA PARA FRENOS DOT-4 ,2026-06-10,Sin Pago,INDETERMINADA,40.7918,,,31.0,38.0,lista_indeterminada
S00532,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-06-10,Sin Pago,INDETERMINADA,87.1877,,,66.0,82.0,lista_indeterminada
S00532,881.0,[0881] CLASICO API SL SAE 20W-,2026-06-10,Sin Pago,INDETERMINADA,83.3402,,,63.0,79.0,lista_indeterminada
S00537,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-06-10,Sin Pago,INDETERMINADA,69.1376,,,,,lista_indeterminada
S00537,915.0,[0915] SINOCO SAE 50 (1x12),2026-06-10,Sin Pago,INDETERMINADA,69.1376,,,,,lista_indeterminada
S00536,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-06-10,Sin Pago,INDETERMINADA,88.7113,,,66.0,82.0,lista_indeterminada
S00535,877.0,[0877] SS EXTRA PROTECCION API,2026-06-10,Sin Pago,INDETERMINADA,99.1474,,,72.0,96.0,lista_indeterminada
S00535,602.0,[0602] SINOCO SAE 50 (PAILA),2026-06-10,Sin Pago,INDETERMINADA,95.2326,,,,,lista_indeterminada
